"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"topi_nb2_1tt","Integer","","Recommended","Verbally of physically rebuffs initiation by another peer or group of peers. Tease/Taunt. Interval 1","0;1","0 = No; 1 = Yes",""
"topi_nb2_2","Integer","","Recommended","Verbally of physically rebuffs initiation by another peer or group of peers. Interval 2","0;1","0 = No; 1 = Yes",""
"topi_nb2_2tt","Integer","","Recommended","Verbally of physically rebuffs initiation by another peer or group of peers. Tease/Taunt. Interval 2","0;1","0 = No; 1 = Yes",""
"topi_nb2_3","Integer","","Recommended","Verbally of physically rebuffs initiation by another peer or group of peers. Interval 3","0;1","0 = No; 1 = Yes",""
"topi_nb2_3tt","Integer","","Recommended","Verbally of physically rebuffs initiation by another peer or group of peers. Tease/Taunt. Interval 3","0;1","0 = No; 1 = Yes",""
"topi_nb2_4","Integer","","Recommended","Verbally of physically rebuffs initiation by another peer or group of peers. Interval 4","0;1","0 = No; 1 = Yes",""
"topi_nb2_4tt","Integer","","Recommended","Verbally of physically rebuffs initiation by another peer or group of peers. Tease/Taunt. Interval 4","0;1","0 = No; 1 = Yes",""
"topi_nb2_5","Integer","","Recommended","Verbally of physically rebuffs initiation by another peer or group of peers. Interval 5","0;1","0 = No; 1 = Yes",""
"topi_nb2_5tt","Integer","","Recommended","Verbally of physically rebuffs initiation by another peer or group of peers. Tease/Taunt. Interval 5","0;1","0 = No; 1 = Yes",""
"topi_nb3_1","Integer","","Recommended","Actively disengages from interaction with peer or group of peers. Interval 1","0;1","0 = No; 1 = Yes",""
"topi_nb3_1tt","Integer","","Recommended","Actively disengages from interaction with peer or group of peers. Tease/Taunt. Interval 1","0;1","0 = No; 1 = Yes",""
"topi_nb3_2","Integer","","Recommended","Actively disengages from interaction with peer or group of peers. Interval 2","0;1","0 = No; 1 = Yes",""
"topi_nb3_2tt","Integer","","Recommended","Actively disengages from interaction with peer or group of peers. Tease/Taunt. Interval 2","0;1","0 = No; 1 = Yes",""
"topi_nb3_3","Integer","","Recommended","Actively disengages from interaction with peer or group of peers. Interval 3","0;1","0 = No; 1 = Yes",""
"topi_nb3_3tt","Integer","","Recommended","Actively disengages from interaction with peer or group of peers. Tease/Taunt. Interval 3","0;1","0 = No; 1 = Yes",""
"topi_nb3_4","Integer","","Recommended","Actively disengages from interaction with peer or group of peers. Interval 4","0;1","0 = No; 1 = Yes",""
"topi_nb3_4tt","Integer","","Recommended","Actively disengages from interaction with peer or group of peers. Tease/Taunt. Interval 4","0;1","0 = No; 1 = Yes",""
"topi_nb3_5","Integer","","Recommended","Actively disengages from interaction with peer or group of peers. Interval 5","0;1","0 = No; 1 = Yes",""
"topi_nb3_5tt","Integer","","Recommended","Actively disengages from interaction with peer or group of peers. Tease/Taunt. Interval 5","0;1","0 = No; 1 = Yes",""
"topi_nb4_1","Integer","","Recommended","Engaged in undirected vocalizations. Interval 1","0;1","0 = No; 1 = Yes",""
"topi_nb4_2","Integer","","Recommended","Engaged in undirected vocalizations. Interval 2","0;1","0 = No; 1 = Yes",""
"topi_nb4_3","Integer","","Recommended","Engaged in undirected vocalizations. Interval 3","0;1","0 = No; 1 = Yes",""
"topi_nb4_4","Integer","","Recommended","Engaged in undirected vocalizations. Interval 4","0;1","0 = No; 1 = Yes",""
"topi_nb4_5","Integer","","Recommended","Engaged in undirected vocalizations. Interval 5","0;1","0 = No; 1 = Yes",""
"topi_nb5_1","Integer","","Recommended","Disrupts peer or peer group activities. Interval 1","0;1","0 = No; 1 = Yes",""
"topi_nb5_2","Integer","","Recommended","Disrupts peer or peer group activities. Interval 2","0;1","0 = No; 1 = Yes",""
"topi_nb5_3","Integer","","Recommended","Disrupts peer or peer group activities. Interval 3","0;1","0 = No; 1 = Yes",""
"topi_nb5_4","Integer","","Recommended","Disrupts peer or peer group activities. Interval 4","0;1","0 = No; 1 = Yes",""
"topi_nb5_5","Integer","","Recommended","Disrupts peer or peer group activities. Interval 5","0;1","0 = No; 1 = Yes",""
"topi_nb6_1","Integer","","Recommended","""Bullies, taunts, or teases other peer(s). Interval 1""","0;1","0 = No; 1 = Yes",""
"topi_nb6_2","Integer","","Recommended","""Bullies, taunts, or teases other peer(s). Interval 2""","0;1","0 = No; 1 = Yes",""
"topi_nb6_3","Integer","","Recommended","""Bullies, taunts, or teases other peer(s). Interval 3""","0;1","0 = No; 1 = Yes",""
"topi_nb6_4","Integer","","Recommended","""Bullies, taunts, or teases other peer(s). Interval 4""","0;1","0 = No; 1 = Yes",""
"topi_nb6_5","Integer","","Recommended","""Bullies, taunts, or teases other peer(s). Interval 5""","0;1","0 = No; 1 = Yes",""
"topi_anbo","Integer","","Recommended","Amount of negative behaviors observed","","",""
"topi_ovstate_1","Integer","","Recommended","Overall state. Interval 1","1::6; 99999","1 = Solitary (S); 2 = Onlooker (O); 3 = Parallel (PL); 4 = Parallel aware (PLA); 5 = Games (G); 6 = Joint engagement (JE); 99999 = missing",""
"topi_ovstate_2","Integer","","Recommended","Overall state. Interval 2","1::6; 99999","1 = Solitary (S); 2 = Onlooker (O); 3 = Parallel (PL); 4 = Parallel aware (PLA); 5 = Games (G); 6 = Joint engagement (JE); 99999=missing",""
"topi_ovstate_3","Integer","","Recommended","Overall state. Interval 3","1::6; 99999","1 = Solitary (S); 2 = Onlooker (O); 3 = Parallel (PL); 4 = Parallel aware (PLA); 5 = Games (G); 6 = Joint engagement (JE); 99999=missing",""
"topi_ovstate_4","Integer","","Recommended","Overall state. Interval 4","1::6; 99999","1 = Solitary (S); 2 = Onlooker (O); 3 = Parallel (PL); 4 = Parallel aware (PLA); 5 = Games (G); 6 = Joint engagement (JE); 99999=missing",""
"topi_ovstate_5","Integer","","Recommended","Overall state. Interval 5","1::6; 99999","1 = Solitary (S); 2 = Onlooker (O); 3 = Parallel (PL); 4 = Parallel aware (PLA); 5 = Games (G); 6 = Joint engagement (JE); 99999 = missing",""
"topi_histate_1","Integer","","Recommended","Highest state. Interval 1","1::6; 99999","1 = Solitary (S); 2 = Onlooker (O); 3 = Parallel (PL); 4 = Parallel aware (PLA); 5 = Games (G); 6 = Joint engagement (JE); 99999=missing",""
"topi_histate_2","Integer","","Recommended","Highest state. Interval 2","1::6; 99999","1 = Solitary (S); 2 = Onlooker (O); 3 = Parallel (PL); 4 = Parallel aware (PLA); 5 = Games (G); 6 = Joint engagement (JE); 99999 = missing",""
"topi_histate_3","Integer","","Recommended","Highest state. Interval 3","1::6; 99999","1 = Solitary (S); 2 = Onlooker (O); 3 = Parallel (PL); 4 = Parallel aware (PLA); 5 = Games (G); 6 = Joint engagement (JE); 99999=missing",""
"topi_histate_4","Integer","","Recommended","Highest state. Interval 4","1::6; 99999","1 = Solitary (S); 2 = Onlooker (O); 3 = Parallel (PL); 4 = Parallel aware (PLA); 5 = Games (G); 6 = Joint engagement (JE); 99999 = missing",""
"topi_histate_5","Integer","","Recommended","Highest state. Interval 5","1::6; 99999","1 = Solitary (S); 2 = Onlooker (O); 3 = Parallel (PL); 4 = Parallel aware (PLA); 5 = Games (G); 6 = Joint engagement (JE); 99999=missing",""
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"topi_ovstate","Integer","","Required","Overall state. Total","1::6; 99999","1 = Solitary (S); 2 = Onlooker (O); 3 = Parallel (PL); 4 = Parallel aware (PLA); 5 = Games (G); 6 = Joint engagement (JE); 99999=missing",""
