"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"sb_n2wm_2","Integer","","Recommended","2","0;1","0 = Fail; 1 = Correct","q33_nwm2_2"
"sb_n2wm_21","Integer","","Recommended","2-1","0;1","0 = Fail; 1 = Correct","q33_nwm2_3"
"sb_n2wm_43","Integer","","Recommended","4-3","0;1","0 = Fail; 1 = Correct","q33_nwm2_4"
"sb_n2wm_47","Integer","","Recommended","4-7","0;1","0 = Fail; 1 = Correct","q33_nwm2_5"
"sb_n2wm_83","Integer","","Recommended","8-3","0;1","0 = Fail; 1 = Correct","q33_nwm2_6"
"sb_n2wm_raw","Integer","","Recommended","Nonverbal Working Memory Level 2 Raw score","","",""
"sb_n3kn_broom","Integer","","Recommended","Sweeps with broom","0;1","0 = Fail; 1 = Correct","q33_nkn3_6"
"sb_n3kn_plant","Integer","","Recommended","Waters plant","0;1","0 = Fail; 1 = Correct","q33_nkn3_5"
"sb_n3kn_raw","Integer","","Recommended","Nonverbal Knowledge Level 3 Raw score","","",""
"sb_n3kn_sciss","Integer","","Recommended","Cuts paper with scissors","0;1","0 = Fail; 1 = Correct","q33_nkn3_1"
"sb_n3kn_spoon","Integer","","Recommended","Eats with spoon","0;1","0 = Fail; 1 = Correct","q33_nkn3_3"
"sb_n3kn_straw","Integer","","Recommended","Drinks with straw","0;1","0 = Fail; 1 = Correct","q33_nkn3_2"
"sb_n3kn_whistle","Integer","","Recommended","Blows whistle","0;1","0 = Fail; 1 = Correct","q33_nkn3_4"
"sb_n3qr_1block","Integer","","Recommended","1 block","0;1","0 = Fail; 1 = Correct","q33_nqr3_4"
"sb_n3qr_2block1","Integer","","Recommended","2 blocks","0;1","0 = Fail; 1 = Correct","q33_nqr3_2"
"sb_rater","Integer","","Recommended","Stanford Binet Rater","","","q33_ratr"
"sb_n3qr_2blocks2","Integer","","Recommended","2 blocks","0;1","0 = Fail; 1 = Correct","q33_nqr3_3"
"sb_n3qr_3","Integer","","Recommended","3","0;1","0 = Fail; 1 = Correct","q33_nqr3_5"
"sb_n3qr_3blocks","Integer","","Recommended","3 blocks","0;1","0 = Fail; 1 = Correct","q33_nqr3_1"
"sb_n3qr_5","Integer","","Recommended","5","0;1","0 = Fail; 1 = Correct","q33_nqr3_6"
"sb_n3qr_raw","Integer","","Recommended","Nonverbal Quantitative Reasoning Level 3 Raw score","","",""
"sb_n3vs_1","Integer","","Recommended","Picture 1","0;1;2","0 = Fail; 1 = Partially correct; 2 = Correct","q33_nvs3_1"
"sb_n3vs_2","Integer","","Recommended","Picture 2","0;1;2","0 = Fail; 1 = Partially correct; 2 = Correct","q33_nvs3_2"
"sb_n3vs_3","Integer","","Recommended","Picture 3","0;1;2","0 = Fail; 1 = Partially correct; 2 = Correct","q33_nvs3_3"
"sb_n3vs_raw","Integer","","Recommended","Nonverbal Visual-Spatial Processing Level 3 Raw score","","",""
"sb_n3wm_148","Integer","","Recommended","1-4-8","0;1","0 = Fail; 1 = Correct","q33_nwm3_2"
"sb_n3wm_216","Integer","","Recommended","2-1-6","0;1","0 = Fail; 1 = Correct","q33_nwm3_1"
"sb_n3wm_36","Integer","","Recommended","3-6","0;1","0 = Fail; 1 = Correct","q33_nwm3_5"
"sb_n3wm_471","Integer","","Recommended","4-7-1","0;1","0 = Fail; 1 = Correct","q33_nwm3_3"
"sb_n3wm_563","Integer","","Recommended","5-6-3","0;1","0 = Fail; 1 = Correct","q33_nwm3_6"
"sb_n3wm_84","Integer","","Recommended","8-4","0;1","0 = Fail; 1 = Correct","q33_nwm3_4"
"sb_n3wm_raw","Integer","","Recommended","Nonverbal Working Memory Level 3 Raw score","","",""
"sb_n4kn_amer","Integer","","Recommended","South and North America","0;1","0 = Fail; 1 = Correct","q33_nkn4_4"
"sb_n4kn_branch","Integer","","Recommended","Sawing branch","0;1","0 = Fail; 1 = Correct","q33_nkn4_1"
"sb_n4kn_nest","Integer","","Recommended","Rooster on nest","0;1","0 = Fail; 1 = Correct","q33_nkn4_5"
"sb_n4kn_raw","Integer","","Recommended","Nonverbal Knowledge Level 4 Raw score","","",""
"sb_n4kn_scales","Integer","","Recommended","Balanced scales","0;1","0 = Fail; 1 = Correct","q33_nkn4_3"
"sb_n4kn_stamp","Integer","","Recommended","Stamp in wrong place","0;1","0 = Fail; 1 = Correct","q33_nkn4_2"
"sb_n4kn_wind","Integer","","Recommended","Wind in two directions","0;1","0 = Fail; 1 = Correct","q33_nkn4_6"
"sb_n4qr_2579","Integer","","Recommended","2, 5, 7, 9","0;1","0 = Fail; 1 = Correct","q33_nqr4_3"
"sb_n4qr_2c","Integer","","Recommended","C","0;1","0 = Fail; 1 = Correct","q33_nqr4_2"
"sb_n4qr_4rod","Integer","","Recommended","Four-unit counting rod","0;1","0 = Fail; 1 = Correct","q33_nqr4_1"
