"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"restdata_02859","Float","","Recommended","Pearson correlation coefficient of mean activation between Frontal_Sup_Medial_L and Cerebellum_4_5_L of the AAL3v1 atlas.","","","frontal_sup_medial_l_to_cerebellum_4_5_l"
"restdata_02860","Float","","Recommended","Pearson correlation coefficient of mean activation between Frontal_Sup_Medial_L and Cerebellum_4_5_R of the AAL3v1 atlas.","","","frontal_sup_medial_l_to_cerebellum_4_5_r"
"restdata_02861","Float","","Recommended","Pearson correlation coefficient of mean activation between Frontal_Sup_Medial_L and Cerebellum_6_L of the AAL3v1 atlas.","","","frontal_sup_medial_l_to_cerebellum_6_l"
"restdata_02862","Float","","Recommended","Pearson correlation coefficient of mean activation between Frontal_Sup_Medial_L and Cerebellum_6_R of the AAL3v1 atlas.","","","frontal_sup_medial_l_to_cerebellum_6_r"
"restdata_02863","Float","","Recommended","Pearson correlation coefficient of mean activation between Frontal_Sup_Medial_L and Cerebellum_7b_L of the AAL3v1 atlas.","","","frontal_sup_medial_l_to_cerebellum_7b_l"
"restdata_02864","Float","","Recommended","Pearson correlation coefficient of mean activation between Frontal_Sup_Medial_L and Cerebellum_7b_R of the AAL3v1 atlas.","","","frontal_sup_medial_l_to_cerebellum_7b_r"
"restdata_02865","Float","","Recommended","Pearson correlation coefficient of mean activation between Frontal_Sup_Medial_L and Cerebellum_8_L of the AAL3v1 atlas.","","","frontal_sup_medial_l_to_cerebellum_8_l"
"restdata_02866","Float","","Recommended","Pearson correlation coefficient of mean activation between Frontal_Sup_Medial_L and Cerebellum_8_R of the AAL3v1 atlas.","","","frontal_sup_medial_l_to_cerebellum_8_r"
"restdata_02867","Float","","Recommended","Pearson correlation coefficient of mean activation between Frontal_Sup_Medial_L and Cerebellum_9_L of the AAL3v1 atlas.","","","frontal_sup_medial_l_to_cerebellum_9_l"
"restdata_02868","Float","","Recommended","Pearson correlation coefficient of mean activation between Frontal_Sup_Medial_L and Cerebellum_9_R of the AAL3v1 atlas.","","","frontal_sup_medial_l_to_cerebellum_9_r"
"restdata_02869","Float","","Recommended","Pearson correlation coefficient of mean activation between Frontal_Sup_Medial_L and Cerebellum_10_L of the AAL3v1 atlas.","","","frontal_sup_medial_l_to_cerebellum_10_l"
"restdata_02870","Float","","Recommended","Pearson correlation coefficient of mean activation between Frontal_Sup_Medial_L and Cerebellum_10_R of the AAL3v1 atlas.","","","frontal_sup_medial_l_to_cerebellum_10_r"
"restdata_02871","Float","","Recommended","Pearson correlation coefficient of mean activation between Frontal_Sup_Medial_L and Vermis_1_2 of the AAL3v1 atlas.","","","frontal_sup_medial_l_to_vermis_1_2"
"restdata_02872","Float","","Recommended","Pearson correlation coefficient of mean activation between Frontal_Sup_Medial_L and Vermis_3 of the AAL3v1 atlas.","","","frontal_sup_medial_l_to_vermis_3"
"restdata_02873","Float","","Recommended","Pearson correlation coefficient of mean activation between Frontal_Sup_Medial_L and Vermis_4_5 of the AAL3v1 atlas.","","","frontal_sup_medial_l_to_vermis_4_5"
"restdata_02874","Float","","Recommended","Pearson correlation coefficient of mean activation between Frontal_Sup_Medial_L and Vermis_6 of the AAL3v1 atlas.","","","frontal_sup_medial_l_to_vermis_6"
"restdata_02875","Float","","Recommended","Pearson correlation coefficient of mean activation between Frontal_Sup_Medial_L and Vermis_7 of the AAL3v1 atlas.","","","frontal_sup_medial_l_to_vermis_7"
"restdata_02876","Float","","Recommended","Pearson correlation coefficient of mean activation between Frontal_Sup_Medial_L and Vermis_8 of the AAL3v1 atlas.","","","frontal_sup_medial_l_to_vermis_8"
"restdata_02877","Float","","Recommended","Pearson correlation coefficient of mean activation between Frontal_Sup_Medial_L and Vermis_9 of the AAL3v1 atlas.","","","frontal_sup_medial_l_to_vermis_9"
"restdata_02878","Float","","Recommended","Pearson correlation coefficient of mean activation between Frontal_Sup_Medial_L and Vermis_10 of the AAL3v1 atlas.","","","frontal_sup_medial_l_to_vermis_10"
"restdata_02879","Float","","Recommended","Pearson correlation coefficient of mean activation between Frontal_Sup_Medial_L and Thal_AV_L of the AAL3v1 atlas.","","","frontal_sup_medial_l_to_thal_av_l"
"restdata_02880","Float","","Recommended","Pearson correlation coefficient of mean activation between Frontal_Sup_Medial_L and Thal_AV_R of the AAL3v1 atlas.","","","frontal_sup_medial_l_to_thal_av_r"
"restdata_02881","Float","","Recommended","Pearson correlation coefficient of mean activation between Frontal_Sup_Medial_L and Thal_LP_L of the AAL3v1 atlas.","","","frontal_sup_medial_l_to_thal_lp_l"
"restdata_02882","Float","","Recommended","Pearson correlation coefficient of mean activation between Frontal_Sup_Medial_L and Thal_LP_R of the AAL3v1 atlas.","","","frontal_sup_medial_l_to_thal_lp_r"
"restdata_02883","Float","","Recommended","Pearson correlation coefficient of mean activation between Frontal_Sup_Medial_L and Thal_VA_L of the AAL3v1 atlas.","","","frontal_sup_medial_l_to_thal_va_l"
