"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"mcg_vc11_name","Integer","","Recommended","child's own name","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_11_15,cdi_wg_d11_15,cdid11_15,pep_child_own_name,understand_child_name"
"mcg_vc11_pple","Integer","","Recommended","people","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_11_16,cdi_wg_d11_16,cdid11_16,pep_people,understand_ppl"
"mcg_vc11_persn","Integer","","Recommended","person","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_11_17,cdi_wg_d11_17,cdid11_17,pep_person,understand_person"
"mcg_vc11_sister","Integer","","Recommended","sister","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_11_18,cdi_wg_d11_18,cdid11_18,pep_sister,understand_sis"
"mcg_vc11_tchr","Integer","","Recommended","teacher","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_11_19,cdi_wg_d11_19,cdid11_19,pep_teacher,understand_teacher"
"mcg_vc11_uncle","Integer","","Recommended","uncle","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_11_20,cdi_wg_d11_20,cdid11_20,pep_uncle,understand_uncle"
"mcg_vc12_bath","Integer","","Recommended","bath","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_12_1,cdi_wg_d12_1,cdid12_1,gr_bath,understand_bath"
"mcg_vc12_bkft","Integer","","Recommended","breakfast","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_12_2,cdi_wg_d12_2,cdid12_2,gr_breakfast,understand_breakfast"
"mcg_vc12_bye","Integer","","Recommended","bye or bye bye","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_12_3,cdi_wg_d12_3,cdid12_3,gr_bye_bye,understand_routine_bye"
"mcg_vc12_dnnr","Integer","","Recommended","dinner","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_12_4,cdi_wg_d12_4,cdid12_4,gr_dinner,understand_dinner"
"mcg_vc12_dont","Integer","","Recommended","don't","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_12_5,cdi_wg_d12_5,cdid12_5,gr_dont,understand_dont"
"mcg_vc12_hello","Integer","","Recommended","hello","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_12_6,cdi_wg_d12_6,cdid12_6,gr_hello,understand_hello"
"mcg_vc12_hi","Integer","","Recommended","hi","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_12_7,cdi_wg_d12_7,cdid12_7,gr_hi,understand_hi"
"mcg_vc12_lunch","Integer","","Recommended","lunch","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_12_8,cdi_wg_d12_8,cdid12_8,gr_lunch,understand_lunch"
"mcg_vc12_nap","Integer","","Recommended","nap","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_12_9,cdi_wg_d12_9,cdid12_9,gr_nap,understand_nap"
"mcg_vc12_night","Integer","","Recommended","night night","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_12_10,cdi_wg_d12_10,cdid12_10,gr_night_night,understand_routine_night"
"mcg_vc12_no","Integer","","Recommended","no","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_12_11,cdi_wg_d12_11,cdid12_11,gr_no,understand_no"
"mcg_vc12_patty","Integer","","Recommended","patty cake","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_12_12,cdi_wg_d12_12,cdid12_12,gr_patty_cake,understand_patty"
"mcg_vc12_peek","Integer","","Recommended","peek-a-boo","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_12_13,cdi_wg_d12_13,cdid12_13,gr_peekaboo,understand_peek"
"mcg_vc12_plse","Integer","","Recommended","please","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_12_14,cdi_wg_d12_14,cdid12_14,gr_please,understand_please"
"mcg_vc12_shh","Integer","","Recommended","shh/shush/hush","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_12_15,cdi_wg_d12_15,cdid12_15,gr_shh_shush_hush,understand_hush"
"mcg_vc12_tkyou","Integer","","Recommended","thank you","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_12_16,cdi_wg_d12_16,cdid12_16,gr_thank_you,understand_thank_you"
"mcg_vc12_wait","Integer","","Recommended","wait","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_12_17,cdi_wg_d12_17,cdid12_17,gr_wait,understand_wait"
"mcg_vc12_want","Integer","","Recommended","wanna/want to","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_12_18,cdi_wg_d12_18,cdid12_18,gr_wanna_want_to,understand_wanna"
"mcg_vc12_yes","Integer","","Recommended","yes","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_12_19,cdi_wg_d12_19,cdid12_19,gr_yes,understand_yes"
"mcg_vc13_bite","Integer","","Recommended","bite","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_1,aw_bite,cdi_wg_d13_1,cdid13_1,understand_bite"
"mcg_vc13_blow","Integer","","Recommended","blow","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_2,aw_blow,cdi_wg_d13_2,cdid13_2,understand_blow"
"mcg_vc13_brk","Integer","","Recommended","break","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_3,aw_break,cdi_wg_d13_3,cdid13_3,understand_break"
"mcg_vc13_bring","Integer","","Recommended","bring","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_4,aw_bring,cdi_wg_d13_4,cdid13_4,understand_bring"
"mcg_vc13_bump","Integer","","Recommended","bump","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_5,aw_bump,cdi_wg_d13_5,cdid13_5,understand_bump"
"mcg_vc13_clean","Integer","","Recommended","clean","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_6,aw_clean,cdi_wg_d13_6,cdid13_6,understand_clean"
"mcg_vc13_close","Integer","","Recommended","close","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_7,aw_close,cdi_wg_d13_7,cdid13_7,understand_close"
"mcg_vc13_cry","Integer","","Recommended","cry","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_8,aw_cry,cdi_wg_d13_8,cdid13_8,understand_cry"
"mcg_vc13_dance","Integer","","Recommended","dance","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_9,aw_dance,cdi_wg_d13_9,cdid13_9,understand_dance"
"mcg_vc13_draw","Integer","","Recommended","draw","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_10,aw_draw,cdi_wg_d13_10,cdid13_10,understand_draw"
"mcg_vc13_drink","Integer","","Recommended","drink","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_11,aw_drink,cdi_wg_d13_11,cdid13_11,understand_action_drink"
"mcg_vc13_drive","Integer","","Recommended","drive","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_12,aw_drive,cdi_wg_d13_12,cdid13_12,understand_drive"
"mcg_vc13_eat","Integer","","Recommended","eat","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_13,aw_eat,cdi_wg_d13_13,cdid13_13,understand_eat"
"mcg_vc13_fall","Integer","","Recommended","fall","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_14,aw_fall,cdi_wg_d13_14,cdid13_14,understand_fall"
"mcg_vc13_feed","Integer","","Recommended","feed","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_15,aw_feed,cdi_wg_d13_15,cdid13_15,understand_feed"
"mcg_vc13_fnsh","Integer","","Recommended","finish","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_16,aw_finish,cdi_wg_d13_16,cdid13_16,understand_finish"
"mcg_vc13_get","Integer","","Recommended","get","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_17,aw_get,cdi_wg_d13_17,cdid13_17,understand_action_get"
"mcg_vc13_give","Integer","","Recommended","give","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_18,aw_give,cdi_wg_d13_18,cdid13_18,understand_give"
"mcg_vc13_go","Integer","","Recommended","go","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_19,aw_go,cdi_wg_d13_19,cdid13_19,understand_go"
"mcg_vc13_help","Integer","","Recommended","help","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_20,aw_help,cdi_wg_d13_20,cdid13_20,understand_help"
"mcg_vc13_hit","Integer","","Recommended","hit","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_21,aw_hit,cdi_wg_d13_21,cdid13_21,understand_hit"
"mcg_vc13_hug","Integer","","Recommended","hug","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_22,aw_hug,cdi_wg_d13_22,cdid13_22,understand_hug"
"mcg_vc13_hurry","Integer","","Recommended","hurry","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_23,aw_hurry,cdi_wg_d13_23,cdid13_23,understand_hurry"
"mcg_vc13_jump","Integer","","Recommended","jump","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_24,aw_jump,cdi_wg_d13_24,cdid13_24,understand_jump"
"mcg_vc13_kick","Integer","","Recommended","kick","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_25,aw_kick,cdi_wg_d13_25,cdid13_25,understand_kick"
"mcg_vc13_kiss","Integer","","Recommended","kiss","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_26,aw_kiss,cdi_wg_d13_26,cdid13_26,understand_kiss"
"mcg_vc13_look","Integer","","Recommended","look","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_27,aw_look,cdi_wg_d13_27,cdid13_27,understand_action_look"
"mcg_vc13_love","Integer","","Recommended","love","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_28,aw_love,cdi_wg_d13_28,cdid13_28,understand_love"
"mcg_vc13_open","Integer","","Recommended","open","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_29,aw_open,cdi_wg_d13_29,cdid13_29,understand_open"
"mcg_vc13_play","Integer","","Recommended","play","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_30,aw_play,cdi_wg_d13_30,cdid13_30,understand_play"
"mcg_vc13_pull","Integer","","Recommended","pull","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_31,aw_pull,cdi_wg_d13_31,cdid13_31,understand_pull"
"mcg_vc13_push","Integer","","Recommended","push","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_32,aw_push,cdi_wg_d13_32,cdid13_32,understand_push"
"mcg_vc13_put","Integer","","Recommended","put","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_33,aw_put,cdi_wg_d13_33,cdid13_33,understand_put"
"mcg_vc13_read","Integer","","Recommended","read","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_34,aw_read,cdi_wg_d13_34,cdid13_34,understand_read"
"mcg_vc13_ride","Integer","","Recommended","ride","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_35,aw_ride,cdi_wg_d13_35,cdid13_35,understand_action_ride"
"mcg_vc13_run","Integer","","Recommended","run","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_36,aw_run,cdi_wg_d13_36,cdid13_36,understand_run"
"mcg_vc13_say","Integer","","Recommended","say","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_37,aw_say,cdi_wg_d13_37,cdid13_37,understand_say"
"mcg_vc13_see","Integer","","Recommended","see","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_38,aw_see,cdi_wg_d13_38,cdid13_38,understand_see"
"mcg_vc13_show","Integer","","Recommended","show","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_39,aw_show,cdi_wg_d13_39,cdid13_39,understand_show"
