"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"wasi_mr_17","Integer","","Recommended","Item 17","0; 1","0 = Fail; 1 = Correct","q32_d17"
"wasi_mr_18","Integer","","Recommended","Item 18","0; 1","0 = Fail; 1 = Correct","q32_d18"
"wasi_mr_19","Integer","","Recommended","Item 19","0; 1","0 = Fail; 1 = Correct","q32_d19"
"wasi_mr_20","Integer","","Recommended","Item 20","0; 1","0 = Fail; 1 = Correct","q32_d20"
"wasi_mr_21","Integer","","Recommended","Item 21","0; 1","0 = Fail; 1 = Correct","q32_d21"
"wasi_mr_22","Integer","","Recommended","Item 22","0; 1","0 = Fail; 1 = Correct","q32_d22"
"wasi_mr_23","Integer","","Recommended","Item 23","0; 1","0 = Fail; 1 = Correct","q32_d23"
"wasi_mr_24","Integer","","Recommended","Item 24","0; 1","0 = Fail; 1 = Correct","q32_d24"
"wasi_mr_25","Integer","","Recommended","Item 25","0; 1","0 = Fail; 1 = Correct","q32_d25"
"wasi_mr_26","Integer","","Recommended","Item 26","0; 1","0 = Fail; 1 = Correct","q32_d26"
"wasi_mr_27","Integer","","Recommended","Item 27","0; 1","0 = Fail; 1 = Correct","q32_d27"
"wasi_mr_28","Integer","","Recommended","Item 28","0; 1","0 = Fail; 1 = Correct","q32_d28"
"wasi_mr_29","Integer","","Recommended","Item 29","0; 1","0 = Fail; 1 = Correct","q32_d29"
"wasi_mr_30","Integer","","Recommended","Item 30","0; 1","0 = Fail; 1 = Correct","q32_d30"
"wasi_mr_31","Integer","","Recommended","Item 31","0; 1","0 = Fail; 1 = Correct","q32_d31"
"wasi_mr_32","Integer","","Recommended","Item 32","0; 1","0 = Fail; 1 = Correct","q32_d32"
"wasi_mr_33","Integer","","Recommended","Item 33","0; 1","0 = Fail; 1 = Correct","q32_d33"
"wasi_mr_34","Integer","","Recommended","Item 34","0; 1","0 = Fail; 1 = Correct","q32_d34"
"wasi_mr_35","Integer","","Recommended","Item 35","0; 1","0 = Fail; 1 = Correct","q32_d35"
"wasi_mr_rsc","Integer","","Recommended","Raw Score: Calculated","","",""
"wasi_mr_trs","Integer","","Recommended","Total Raw Score","0  28","","q32_sc4"
"wasi_pr_iq","Integer","","Recommended","IQ","","","q32_iq2"
"wasi_pr_lci","Integer","","Recommended","Lower % Confidence Interval","","","q32_con2a"
"wasi_pr_pct","Float","","Recommended","Percentile","","","q32_per2"
"wasi_pr_sts","Integer","","Recommended","Sum of T Scores","","","q32_sum2"
"wasi_pr_uci","Integer","","Recommended","Upper % Confidence Interval","","","q32_con2b"
"wasi_s_bd_fl","Integer","","Recommended","Bird-Flower","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_c20"
"wasi_s_bw_pl","Integer","","Recommended","Bowl-Plate","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_c12"
"wasi_s_ch_ad","Integer","","Recommended","Child-Adult","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_c18"
"wasi_s_ci_sq","Integer","","Recommended","Circle-Square","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_c6"
"wasi_s_cloth","Integer","","Recommended","Clothing","0; 1","0 = Fail; 1 = Correct","q32_c3"
"wasi_s_cp_sc","Integer","","Recommended","Capitalism-Socialism","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_c24"
"wasi_s_cw_br","Integer","","Recommended","Cow-Bear","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_c8"
"wasi_s_ditems","Integer","","Recommended","Dining Items","0; 1","0 = Fail; 1 = Correct","q32_c2"
"wasi_s_four","Integer","","Recommended","Four-Wheeled","0; 1","0 = Fail; 1 = Correct","q32_c1"
"wasi_s_fr_lw","Integer","","Recommended","Freedom-Law","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_c26"
"wasi_s_fruits","Integer","","Recommended","Fruits","0; 1","0 = Fail; 1 = Correct","q32_c4"
"wasi_s_gr_st","Integer","","Recommended","Grapes-Strawberries","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_c7"
"wasi_s_lv_ht","Integer","","Recommended","Love-Hate","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_c13"
"wasi_s_mr_ls","Integer","","Recommended","More-Less","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_c21"
"wasi_s_pc_wr","Integer","","Recommended","Peace-War","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_c23"
"wasi_s_pen_pec","Integer","","Recommended","Pen-Pencil","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_c11"
"wasi_s_ph_sn","Integer","","Recommended","Photograph-Song","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_c22"
"wasi_s_pl_bus","Integer","","Recommended","Plane-Bus","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_c9"
"wasi_s_redbl","Integer","","Recommended","Red-Blue","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_c5"
"wasi_s_rsc","Integer","","Recommended","Raw Score: Calculated","","",""
"wasi_s_sh_ank","Integer","","Recommended","Shoulder-Ankle","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_c16"
"wasi_s_sh_jk","Integer","","Recommended","Shirt-Jacket","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_c10"
"wasi_s_sm_rg","Integer","","Recommended","Smooth-Rough","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_c15"
"wasi_s_st_cl","Integer","","Recommended","Steam-Cloud","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_c19"
"wasi_s_st_rn","Integer","","Recommended","Sit-Run","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_c17"
"wasi_s_tr_hb","Integer","","Recommended","Tradition-Habit","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_c25"
"wasi_s_trs","Integer","","Recommended","Total Raw Score","0  48","","q32_sc3"
"wasi_s_tv_nws","Integer","","Recommended","TV-Newspaper","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_c14"
"wasi_ss_bd_t","Integer","","Recommended","Block Design - T Score","","","q32_ss2"
"wasi_ss_mr_t","Integer","","Recommended","Matrix Reasoning - T Score","","","q32_ss4"
"wasi_ss_s_t","Integer","","Recommended","Similarities - T Score","","","q32_ss3"
"wasi_version","String","35","Recommended","WASI Version","","",""
"wasi_ss_voc_t","Integer","","Recommended","Vocabulary - T Score","","","q32_ss1"
"wasi_v_algtr","Integer","","Recommended","Alligator","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a19"
"wasi_v_balln","Integer","","Recommended","Balloon","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a17"
"wasi_v_bell","Integer","","Recommended","Bell","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a12"
"wasi_v_bird","Integer","","Recommended","Bird","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a9"
"wasi_v_blame","Integer","","Recommended","Blame","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a21"
"wasi_v_car","Integer","","Recommended","Car","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a8"
"wasi_v_cart","Integer","","Recommended","Cart","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a20"
"wasi_v_clndr","Integer","","Recommended","Calendar","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a10"
"wasi_v_dance","Integer","","Recommended","Dance","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a22"
"wasi_v_decade","Integer","","Recommended","Decade","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a27"
"wasi_v_devout","Integer","","Recommended","Devout","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a36"
"wasi_v_enth","Integer","","Recommended","Enthusiastic","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a30"
"wasi_v_entn","Integer","","Recommended","Entertain","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a24"
"wasi_v_famous","Integer","","Recommended","Famous","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a25"
"wasi_v_fish","Integer","","Recommended","Fish","0; 1","0 = Fail; 1 = Correct","q32_a1"
"wasi_v_fmdb","Integer","","Recommended","Formidable","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a40"
"wasi_v_fshlgt","Integer","","Recommended","Flashlight","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a7"
"wasi_v_haste","Integer","","Recommended","Haste","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a33"
"wasi_v_impls","Integer","","Recommended","Impulse","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a32"
"wasi_v_imprt","Integer","","Recommended","Impertinent","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a37"
"wasi_v_imprv","Integer","","Recommended","Improvise","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a31"
"wasi_v_interm","Integer","","Recommended","Intermittent","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a35"
"wasi_v_iq","Integer","","Recommended","IQ","","","q32_iq1"
"wasi_v_lci","Integer","","Recommended","Lower % Confidence Interval","","","q32_con1a"
"wasi_v_lunch","Integer","","Recommended","Lunch","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a13"
"wasi_v_map","Integer","","Recommended","Map","0; 1","0 = Fail; 1 = Correct","q32_a3"
"wasi_v_niche","Integer","","Recommended","Niche","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a38"
"wasi_v_nmbr","Integer","","Recommended","Number","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a11"
"wasi_v_pct","Float","","Recommended","Percentile","","","q32_per1"
"wasi_v_pet","Integer","","Recommended","Pet","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a16"
"wasi_v_pmpt","Integer","","Recommended","Presumptuous","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a39"
"wasi_v_pnce","Integer","","Recommended","Panacea","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a42"
"wasi_v_police","Integer","","Recommended","Police","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a14"
"wasi_v_prpse","Integer","","Recommended","Purpose","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a23"
"wasi_v_reveal","Integer","","Recommended","Reveal","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a26"
"wasi_v_rjoice","Integer","","Recommended","Rejoice","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a29"
"wasi_v_rmnt","Integer","","Recommended","Ruminate","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a41"
"wasi_v_rsc","Integer","","Recommended","Raw Score: Calculated","","",""
"wasi_v_shell","Integer","","Recommended","Shell","0; 1","0 = Fail; 1 = Correct","q32_a4"
"wasi_v_shirt","Integer","","Recommended","Shirt","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a5"
"wasi_v_shoe","Integer","","Recommended","Shoe","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a6"
"wasi_v_shovel","Integer","","Recommended","Shovel","0; 1","0 = Fail; 1 = Correct","q32_a2"
"wasi_v_sts","Integer","","Recommended","Sum of T Scores","","","q32_sum1"
"wasi_v_trdtn","Integer","","Recommended","Tradition","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a28"
"wasi_v_trend","Integer","","Recommended","Trend","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a34"
"wasi_v_trnsf","Integer","","Recommended","Transform","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a18"
"wasi_v_trs","Integer","","Recommended","Total Raw Score","0  80","","q32_sc1"
"wasi_v_uci","Integer","","Recommended","Upper % Confidence Interval","","","q32_con1b"
"wasi_v_vaca","Integer","","Recommended","Vacation","0; 1; 2","0 = Fail; 1 = Partially correct; 2 = Correct","q32_a15"
